date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL,O3_OBREGON,PM10_OBREGON,O3_AZCAPOTZALCO,PM10_AZCAPOTZALCO,O3_BENITOJUAREZ,PM10_BENITOJUAREZ,O3_COYOACAN,PM10_COYOACAN,O3_CUAJIMALPA,PM10_CUAJIMALPA,O3_CUAUHTEMOC,PM10_CUAUHTEMOC,O3_IZTACALCO,PM10_IZTACALCO,O3_IZTAPALAPA,PM10_IZTAPALAPA,O3_MIGUELHIDALGO,PM10_MIGUELHIDALGO,O3_MILPAALTA,PM10_MILPAALTA,O3_TLALPAN,PM10_TLALPAN,O3_VENUSTIANO,PM10_VENUSTIANO,O3_XOCHIMILCO,PM10_XOCHIMILCO,O3_TOTAL_avg,PM10_TOTAL_avg
16/01/2012,,,11.74527253,0.147628379,0.718707476,,3.944261018,0.024271635,1.003895113,,18.58969905,,7.986417937,0.012682758,8.453994897,,4.650226384,,5.330359266,,9.329407665,,5.075148448,0.214153574,7.743512734,0.081687311,9.895082587,0.021811686,12.6385856,0.069132033,,,6.604136297,0.064368209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2012,0.8000192,,12.24507136,0.036907095,1.197845794,,6.245079945,0.024271635,,,11.64203375,,7.299414243,0.012682758,10.50344821,,3.227804196,,2.460165815,0.060556079,9.055013322,0.081049394,6.525190862,,5.531080524,0.040843656,7.82745339,,3.744766104,0.10369805,5.52973676,,5.662290034,0.074048584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/2012,0.133336533,,12.49497077,0.036907095,1.676984112,,3.122539973,0.024271635,,,11.07870954,,6.09715778,0.012682758,10.24726654,0.037834906,3.55605547,0.016159569,2.050138179,,8.231830293,,7.975233276,,4.148310393,0.081687311,8.270516789,0.043623372,6.553340682,0.034566017,5.048890086,,5.359553735,0.063488175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/2012,1.600038401,,13.99436727,0.036907095,1.197845794,,3.122539973,0.024271635,,,10.70316006,,7.814667014,0.012682758,12.29671985,0.075669812,3.829598199,,4.92033163,,13.9941115,,7.250212069,,5.254526498,0.081687311,5.316760793,,11.46834619,0.034566017,3.365926724,,6.155638077,0.060093758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/2012,2.800067202,,14.24426668,0.036907095,0.958276635,,5.752047318,0.048543269,,,10.51538532,0.055464076,5.925406856,0.025365516,8.197813233,0.037834906,2.461884556,,0.820055272,,8.506224636,,10.8753181,,4.977972472,,5.907511992,0.021811686,8.659771616,,3.846773399,,5.359553735,0.069019818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/01/2012,0.666682667,,12.24507136,0.110721285,1.437414953,,0.821721045,,,,5.069917924,,9.360425324,0.050731032,16.65180813,,3.501346924,,3.280221087,0.121112159,7.408647263,0.040524697,10.8753181,,1.382770131,,6.645950991,0.043623372,11.46834619,0.034566017,2.163810037,,5.47167829,0.060093758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/01/2012,1.200028801,,13.49456844,0.07381419,1.676984112,,0.986065255,,,,8.07431373,0.027732038,8.244044322,0.012682758,13.57762817,,3.118387105,0.016159569,1.230082908,,9.329407665,0.040524697,8.700254482,,3.318648315,,7.53207779,0.043623372,11.00025043,0.034566017,1.682963362,,5.505315657,0.061350949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/01/2012,0.533346134,,12.24507136,0.07381419,2.156122429,,4.272949436,0.097086539,1.003895113,,10.8909348,,5.753655933,0.012682758,14.85853649,,3.829598199,0.024239354,2.050138179,0.060556079,7.95743595,0.040524697,13.77540293,,9.955944944,0.122530967,8.418204589,,9.361915261,,2.163810037,,6.032301066,0.061728107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/01/2012,1.333365334,,17.7428585,0.147628379,,,3.286884182,0.024271635,0.501947557,,6.384341089,,6.698286012,,10.75962987,,3.391929833,,2.050138179,,11.25016807,0.081049394,2.900084827,,5.531080524,0.040843656,7.82745339,0.065435059,12.6385856,0.069132033,6.010583435,,5.830476867,0.067636907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/01/2012,2.400057601,,12.49497077,0.07381419,,,2.958195764,0.024271635,0.501947557,,14.45865482,,6.526535088,0.012682758,9.222539887,,4.540809293,,3.280221087,,8.780618979,0.040524697,10.8753181,,6.084188577,0.040843656,9.304331388,0.021811686,11.23429831,,1.682963362,,6.211700354,0.065373962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
