date,O3_AO,PM10_AO,O3_AZ,PM10_AZ,O3_BJ,PM10_BJ,O3_CY,PM10_CY,O3_CJ,PM10_CJ,O3_CH,PM10_CH,O3_IC,PM10_IC,O3_IZ,PM10_IZ,O3_MH,PM10_MH,O3_MA,PM10_MA,O3_TL,PM10_TL,O3_VC,PM10_VC,O3_XO,PM10_XO
02/02/2014,48.5,50.625,33.875,59.54166667,,,32.60416667,0,51.4375,46.02083333,,59.25,33.875,54.20833333,42.375,68.54166667,,,,,43.5,58.29166667,35.8125,72.83333333,48.33333333,69.20833333
03/02/2014,42.16666667,43.70833333,31.04166667,48.375,,,28.22916667,0,46.95833333,40.41666667,,48.79166667,31.29166667,49.25,37.5,64.54166667,,,,,34.33333333,55.73913043,29.60416667,62.54166667,42.16666667,52.875
04/02/2014,38.60869565,42.56521739,23.45833333,64.04166667,,,26.4375,0,41.79166667,38.16666667,,52.20833333,19.8,49.29166667,36.83333333,56.75,,,,,32.66666667,58.27272727,24.79166667,62.83333333,37.58333333,59.58333333
05/02/2014,43.89473684,47.04347826,31.25,66.625,,,30.33333333,0,44.9375,48.58333333,,67.29166667,32.04166667,59.04166667,38.08333333,72.91666667,,,,,37.125,53.58333333,31.47916667,80.25,33.4,65.5
06/02/2014,40.70833333,64.95833333,27.54166667,79.04166667,,,29.16666667,0,43.85416667,62.54166667,,66.875,32.20833333,60.70833333,35.58333333,64.45454545,,,,,39.375,58.79166667,29.45833333,73.66666667,42.54166667,60.33333333
07/02/2014,29.125,55.70833333,26.25,75.58333333,,,27.04166667,0,34.89583333,47.89583333,,67.72727273,31,65.16666667,35.5,77.75,,,,,35.25,58.13043478,30.20833333,86.04166667,46.16666667,69.5
08/02/2014,37.20833333,39.83333333,31.16666667,56.58333333,,,29.20833333,0,40.36956522,42.89130435,,56.16666667,32.66666667,53.45833333,33.83333333,69.125,,,,,41.29166667,41.54166667,30.35416667,68.70833333,42.45833333,60.875
09/02/2014,40.54166667,29.25,28.08333333,36.33333333,,,24.625,5e-324,39.54166667,26.08333333,,40.16666667,27.16666667,41.95833333,24.39130435,47.08695652,,,,,38.77083333,39.25,24.4375,47.17391304,37.5,50.41666667
10/02/2014,31.5,49.5,22.25,55.04166667,,,26.25,0,37.72916667,41.41666667,,50.47826087,27.125,51.70833333,27.875,67.20833333,,,,,38.125,47.69565217,24.39583333,61.875,40.45833333,60.08333333
11/02/2014,33.73913043,40.36363636,,54.84615385,,,22.79166667,0,36.4375,36.58333333,,42.91666667,27.08333333,46.91666667,31.625,53.70833333,,,,,28.91666667,49.52173913,25.625,58.66666667,33.70833333,52.5
12/02/2014,33.36842105,46.95833333,,,,,24.875,0,40.83333333,36,,50.54166667,26.625,50.70833333,31.79166667,61.79166667,,,,,38.72916667,41.47619048,25.54166667,64.20833333,37.375,45.875
13/02/2014,43.25,47.125,,,,,34,0,47.77083333,50,,60.16666667,33.83333333,49.91666667,29.66666667,64.9047619,,,,,45.9375,44.5,33.5,69.95,49,51.36363636
14/02/2014,40.625,60.79166667,,64,,,34.26315789,0,48.4375,50.875,,66.88888889,29.7826087,65.91304348,37.83333333,79.54166667,,,,,46.95833333,50,30.6875,80.20833333,49.68181818,69.95238095
15/02/2014,33.20833333,37.86956522,21.20833333,47.91666667,,,22.45833333,0,35.08333333,33.0625,,42.26086957,23.375,48,23.83333333,60.5,,,,,33.1875,42.70833333,21.89583333,56.5,30.41666667,53.91666667
16/02/2014,34.58333333,32.53333333,28.25,43.95833333,,,28,0,37.4375,26.375,,45.13043478,27.91666667,42.83333333,31.58333333,56.04166667,,,,,37.5625,38.08333333,27.625,53.08333333,39.25,48.5
17/02/2014,33.875,54.76190476,22.875,57.875,,,25,5e-324,36.79166667,39.875,,60.66666667,28.04166667,52.875,27,66.16666667,,,,,36.5,52.5,25.20833333,70.5,27.28571429,68.19047619
18/02/2014,40.34782609,62.17391304,27.77272727,71.59090909,,,28.95833333,0,40.4375,54.70833333,,65.45833333,29.25,62.41666667,29.45,83.79166667,,,,,43.47916667,62.54166667,31,87.45833333,44.36363636,80
19/02/2014,49.05263158,58.08333333,31.83333333,72.25,,,31.91666667,0,51.52083333,44.66666667,,73.5,37.58333333,59.58333333,40.86363636,88.27272727,,,,,51.83333333,64.16666667,35.10416667,89.16666667,46.45,73.95833333
20/02/2014,46.75,57.33333333,35.5,78.66666667,,,31.40909091,0,63.22916667,62.8125,,75.63157895,41.875,65.08333333,46.83333333,81.5,,,,,54.04166667,70.39130435,40.29166667,96.79166667,51.29166667,72.79166667
21/02/2014,58,61.79166667,41.41666667,77.5,,,41.94736842,0,65.54166667,62.72916667,,70,49.91304348,64.73913043,48.95833333,85,,,,,66.64583333,68.45833333,51.79166667,95.41666667,64.125,76.45833333
22/02/2014,44.29166667,49.30434783,34.54166667,66.70833333,,,30.17391304,0,45.66666667,50.8125,,61.54166667,32.56521739,59.82608696,41.91666667,62.75,,,,,41.83333333,57.5,34.29166667,78.375,45.58333333,57.45833333
23/02/2014,52.18181818,52.18181818,44.16666667,59.41666667,,,33.95652174,0,58.66666667,50.6875,,57.25,42.29166667,53.08333333,46.2173913,60.26086957,,,,,46.04166667,54.45833333,40.6875,71.91666667,47.125,61.26086957
24/02/2014,47.91666667,57,42.58333333,62.875,,,26.86363636,0,50.875,52.79166667,,58.33333333,45.625,56.58333333,50.29166667,67.375,,,,,38.4,55.66666667,45.04166667,78.33333333,50.45833333,62.625
25/02/2014,51.36842105,63.42857143,40.125,84.66666667,,,30.875,5e-324,55.5625,59,,78.25,34.47368421,81.29166667,47.04166667,85.79166667,,,,,59.95833333,63.54166667,43.08333333,91.54166667,62.04166667,72.16666667
26/02/2014,51.15789474,62.625,37.79166667,61.33333333,,,28.58333333,0,50.0625,52.14583333,,67.33333333,42.04166667,67.125,43.25,82.20833333,,,,,50.6875,60.54166667,41.0625,90.45833333,54.91666667,73.20833333
27/02/2014,26.40909091,51.94736842,23.08333333,63,,,23.08333333,0,29.33333333,42.75,,59.91666667,27.375,54.66666667,28.45833333,66.70833333,,,,,34.45833333,42.625,22.83333333,76.66666667,37.375,53.79166667
28/02/2014,37.25,42.95454545,32.14285714,56.45833333,,,25.83333333,0,41.5625,33.47916667,,49.45833333,30.91666667,48.875,32.75,56.875,,,,,37.10416667,48.91666667,29.29166667,75.75,34.25,48.375
01/03/2014,37.08333333,47.08695652,29.33333333,54.375,,,25.9375,0,33.66666667,48.04166667,,55.08333333,31,51.125,34.33333333,62.125,,,,,39.10416667,50.04166667,31.125,69.60869565,36.125,54.16666667
02/03/2014,34.22727273,31.81818182,29.20833333,41.20833333,,,23.5,0,42.79166667,28.125,,44.45833333,29.875,43.70833333,30.91666667,50.04166667,,,,,35.64583333,41.625,28.70833333,53.95833333,39.34782609,48.45454545
03/03/2014,36.625,59.80952381,28.83333333,57.16666667,,,29.10416667,0,40.58333333,42.9375,,59.58333333,29.5,60.41666667,33.08333333,75.41666667,,,,,43.14583333,53.66666667,32.04166667,78.29166667,41.39130435,68.59090909
04/03/2014,20.95652174,,21.66666667,43.33333333,,,20.52083333,5e-324,23.3125,34.5625,,38.83333333,23.43478261,39.60869565,24.375,45.91666667,,,,,29.70833333,33.08333333,20.66666667,54.33333333,33.41666667,38.47826087
05/03/2014,28.57894737,,23,38.5,,,21.33333333,5e-324,31,29.41666667,,31.16666667,25.58333333,37.58333333,19.3,48.2173913,,,,,26.625,33.41666667,22.1875,41.875,32.29166667,39.59090909
06/03/2014,33.29166667,,28.70833333,55.70833333,,,26.35416667,0,36.60416667,36.04166667,,45.33333333,30.08333333,43.04166667,32.58333333,56.58333333,,,,,36.20833333,47.875,29.91666667,65.75,37.95833333,58.91666667
07/03/2014,24,,20.20833333,48.33333333,,,21.45833333,0,28.125,32.39583333,,43.25,23.25,42.875,26,54.25,,,,,31.0625,48.95652174,21.39583333,59.83333333,33.25,48.31818182
08/03/2014,20.66666667,,19.79166667,43.75,,,19.66666667,0,26.83333333,24.875,,32.72727273,20.04166667,32.54166667,25.5,36.83333333,,,,,26.14583333,37.55,18.14583333,45.17391304,30.65217391,53.5
09/03/2014,15.45833333,,14.25,20.73913043,,,12.97916667,0,18.54166667,16.35416667,,23.9,12.45454545,24.81818182,15.625,25.29166667,,,,,19.41666667,23.5,11.25,32.60869565,22.16666667,26.5
10/03/2014,11.125,,10.41666667,24.95238095,,,11.08333333,0,12.79166667,18.85416667,,22.66666667,11.875,23.25,15.41666667,24.7826087,,,,,15.95833333,23.09090909,9.4375,29.86956522,21.6,15.25
11/03/2014,19.7826087,,15.875,28.65217391,,,15.45833333,0,23.27083333,26.66666667,,30.45,16.08333333,29.875,19.13043478,38.45454545,,,,,22.29166667,35.19047619,14.375,42.16666667,25.5,53.54166667
12/03/2014,44.15789474,36,30.70833333,65.66666667,,,27.875,5e-324,45.5625,57.6875,,57.125,29.95833333,47.79166667,30.875,62.25,,,,,35.77083333,57.90909091,30.9375,73.29166667,32.91304348,63.45454545
